0,1,2
1.5902,1.6454,1.0
2.5083,1.4237,1.0
1.886,2.6316,1.0
1.7106,2.9495,1.0
2.0386,1.5381,1.0
3.2356,2.6192,1.0
2.9121,1.8042,1.0
2.6577,2.7594,1.0
2.6474,2.5152,1.0
2.9173,1.6577,1.0
3.1896,2.0069,1.0
1.9748,1.8471,1.0
2.7947,2.2425,1.0
2.2797,2.8549,1.0
1.2761,2.5407,1.0
2.2128,1.9576,1.0
2.4358,1.9301,1.0
2.5059,2.423,1.0
2.7526,1.9273,1.0
1.8302,2.1204,1.0
3.2251,2.2145,1.0
1.6974,1.8524,1.0
1.5838,2.6503,1.0
2.2758,1.6625,1.0
1.7324,2.9576,1.0
2.5773,3.3005,1.0
2.5864,1.3412,1.0
1.9372,2.9624,1.0
2.0799,1.2972,1.0
2.1219,2.7612,1.0
2.5363,2.3364,1.0
1.6948,1.703,1.0
2.266,2.4249,1.0
2.7762,2.0472,1.0
2.9137,2.3263,1.0
1.9437,1.8532,1.0
1.9226,1.4037,1.0
1.9981,2.2292,1.0
2.2207,1.7052,1.0
2.2353,3.1916,1.0
2.5415,2.0292,1.0
2.1711,1.6013,1.0
1.7863,2.4338,1.0
2.632,1.6162,1.0
1.6982,2.6647,1.0
2.1374,2.0441,1.0
2.1372,1.7187,1.0
2.9836,2.1318,1.0
2.7921,1.6736,1.0
1.5784,2.5156,1.0
2.9106,2.9497,1.0
1.5818,2.8216,1.0
1.5693,2.1212,1.0
2.3967,2.9524,1.0
2.9024,2.241,1.0
2.5358,3.1205,1.0
3.1962,1.8844,1.0
1.8578,1.916,1.0
2.5687,2.1708,1.0
2.9565,2.0884,1.0
2.9049,1.4263,1.0
2.2849,1.8745,1.0
2.7003,2.9473,1.0
1.6049,2.3474,1.0
2.3431,1.3071,1.0
2.4226,2.828,1.0
2.9807,2.8088,1.0
1.4695,2.2097,1.0
2.4016,2.5534,1.0
2.3996,1.6159,1.0
2.6397,2.3489,1.0
1.2859,2.2509,1.0
1.5391,1.8988,1.0
2.9709,2.5935,1.0
1.8644,2.8717,1.0
2.9321,2.1744,1.0
1.338,1.8555,1.0
3.193,2.5844,1.0
2.3036,2.2818,1.0
2.2038,3.2163,1.0
1.6664,1.6097,1.0
3.0639,1.6728,1.0
1.693,1.8638,1.0
1.3394,2.499,1.0
2.1067,1.8368,1.0
2.3582,3.1383,1.0
1.681,2.9694,1.0
2.0823,1.3323,1.0
1.55,2.7229,1.0
1.4917,2.2762,1.0
2.6969,1.6441,1.0
1.8205,2.4212,1.0
1.7304,1.6919,1.0
2.9945,1.7888,1.0
2.6692,2.3007,1.0
3.0227,2.0253,1.0
3.3523,2.433,1.0
2.8739,2.4175,1.0
2.4988,2.6891,1.0
2.8323,3.0056,1.0
1.7477,2.1849,1.0
2.6375,2.1431,1.0
2.463,2.6094,1.0
2.2303,2.9647,1.0
2.5934,2.0731,1.0
2.0592,1.7625,1.0
2.3931,1.3901,1.0
2.4265,3.1767,1.0
2.6599,1.4592,1.0
2.7761,2.5532,1.0
3.0736,2.0563,1.0
1.4368,2.0891,1.0
2.9235,2.5889,1.0
2.3596,2.1709,1.0
3.0918,1.5504,1.0
2.5902,1.743,1.0
2.1709,2.6365,1.0
2.3561,2.2698,1.0
2.1137,1.3469,1.0
2.0959,2.0739,1.0
2.7405,3.099,1.0
3.1426,1.8429,1.0
2.3254,1.988,1.0
1.5851,2.8056,1.0
2.4164,1.4839,1.0
2.9415,1.7662,1.0
3.0487,2.5656,1.0
2.8274,3.0408,1.0
2.8469,1.9286,1.0
2.1366,3.0482,1.0
2.1216,1.3258,1.0
2.4751,2.6859,1.0
2.1931,1.4192,1.0
2.17,1.2954,1.0
1.7808,2.8369,1.0
1.9931,3.225,1.0
1.7356,1.8448,1.0
2.9845,1.9797,1.0
2.1534,3.1973,1.0
2.9045,3.0647,1.0
2.8465,2.9902,1.0
2.7152,2.9093,1.0
2.0224,2.2639,1.0
2.7537,1.8748,1.0
2.3306,1.394,1.0
2.4068,2.544,1.0
2.4421,1.6091,1.0
1.7535,2.7635,1.0
2.4019,2.9214,1.0
2.5789,2.9757,1.0
2.5593,2.3659,1.0
2.0352,1.4058,1.0
1.6096,2.9144,1.0
1.8859,1.7016,1.0
2.0569,2.683,1.0
1.503,1.8425,1.0
2.1984,2.4371,1.0
2.2871,2.5311,1.0
1.8972,2.9747,1.0
1.5117,2.4982,1.0
2.4181,1.4901,1.0
3.1396,1.9599,1.0
2.6447,1.3009,1.0
2.6713,2.5387,1.0
1.5145,2.8329,1.0
3.2686,2.4182,1.0
2.0611,2.917,1.0
2.8163,1.5293,1.0
2.4293,2.8097,1.0
