0,1,2
-0.9,1.9,1.0
-0.903083,1.978459,1.0
-0.912312,2.056434,1.0
-0.92763,2.133445,1.0
-0.948943,2.209017,1.0
-0.97612,2.282683,1.0
-1.008993,2.353991,1.0
-1.04736,2.422499,1.0
-1.090983,2.487785,1.0
-1.139594,2.549448,1.0
-1.192893,2.607107,1.0
-1.250552,2.660406,1.0
-1.312215,2.709017,1.0
-1.377501,2.75264,1.0
-1.446009,2.791006,1.0
-1.517316,2.82388,1.0
-1.590983,2.851056,1.0
-1.666555,2.87237,1.0
-1.743566,2.887688,1.0
-1.821541,2.896917,1.0
-1.9,2.9,1.0
-1.978459,2.896917,1.0
-2.056435,2.887688,1.0
-2.133445,2.87237,1.0
-2.209017,2.851056,1.0
-2.282684,2.823879,1.0
-2.353991,2.791006,1.0
-2.422499,2.75264,1.0
-2.487785,2.709017,1.0
-2.549448,2.660406,1.0
-2.607107,2.607107,1.0
-2.660406,2.549448,1.0
-2.709017,2.487785,1.0
-2.75264,2.422498,1.0
-2.791007,2.35399,1.0
-2.82388,2.282683,1.0
-2.851057,2.209017,1.0
-2.87237,2.133445,1.0
-2.887688,2.056434,1.0
-2.896917,1.978459,1.0
-2.9,1.899999,1.0
-2.896917,1.82154,1.0
-2.887688,1.743565,1.0
-2.87237,1.666554,1.0
-2.851056,1.590982,1.0
-2.823879,1.517316,1.0
-2.791006,1.446009,1.0
-2.75264,1.377501,1.0
-2.709017,1.312214,1.0
-2.660405,1.250551,1.0
-2.607106,1.192893,1.0
-2.549448,1.139594,1.0
-2.487785,1.090983,1.0
-2.422498,1.047359,1.0
-2.35399,1.008993,1.0
-2.282683,0.97612,1.0
-2.209016,0.948943,1.0
-2.133445,0.92763,1.0
-2.056434,0.912312,1.0
-1.978458,0.903083,1.0
-1.899999,0.9,1.0
-1.82154,0.903083,1.0
-1.743565,0.912312,1.0
-1.666554,0.92763,1.0
-1.590982,0.948944,1.0
-1.517316,0.976121,1.0
-1.446008,1.008994,1.0
-1.3775,1.04736,1.0
-1.312214,1.090984,1.0
-1.250551,1.139595,1.0
-1.192892,1.192894,1.0
-1.139593,1.250553,1.0
-1.090982,1.312216,1.0
-1.047359,1.377503,1.0
-1.008993,1.446011,1.0
-0.97612,1.517318,1.0
-0.948943,1.590984,1.0
-0.92763,1.666556,1.0
-0.912311,1.743567,1.0
-0.903083,1.821542,1.0
0.2,1.8,2.0
0.198458,1.87852,2.0
0.193835,1.956918,2.0
0.186137,2.035075,2.0
0.175377,2.112869,2.0
0.161571,2.190181,2.0
0.14474,2.266891,2.0
0.12491,2.342881,2.0
0.102113,2.418034,2.0
0.076383,2.492234,2.0
0.047759,2.565367,2.0
0.016286,2.637319,2.0
-0.017987,2.707981,2.0
-0.055008,2.777242,2.0
-0.09472,2.844997,2.0
-0.137061,2.91114,2.0
-0.181966,2.97557,2.0
-0.229366,3.038188,2.0
-0.279188,3.098896,2.0
-0.331355,3.157602,2.0
-0.385786,3.214214,2.0
-0.442399,3.268645,2.0
-0.501104,3.320812,2.0
-0.561812,3.370634,2.0
-0.62443,3.418034,2.0
-0.68886,3.462939,2.0
-0.755003,3.50528,2.0
-0.822758,3.544992,2.0
