0,1,2
0.695,0.976,1.0
-2.218,-0.875,1.0
-0.33,-0.956,1.0
-1.8,0.904,1.0
3.077,-0.626,1.0
1.089,0.923,1.0
-1.045,0.929,1.0
-2.244,-0.845,1.0
-3.208,-0.547,1.0
-0.125,-1.046,1.0
3.825,-0.333,1.0
-2.02,-0.841,1.0
-3.547,-0.466,1.0
-1.981,0.851,1.0
-2.172,-0.856,1.0
-3.674,0.381,1.0
2.986,-0.616,1.0
-0.163,1.038,1.0
0.195,-1.039,1.0
1.644,0.954,1.0
3.248,-0.579,1.0
-2.737,0.739,1.0
2.257,-0.866,1.0
-0.23,0.952,1.0
-3.798,0.278,1.0
-2.764,-0.772,1.0
-3.977,-0.075,1.0
-3.517,-0.468,1.0
0.034,-1.012,1.0
-0.526,-1.019,1.0
2.892,-0.734,1.0
-0.964,-0.965,1.0
0.694,0.992,1.0
-1.617,-0.914,1.0
2.583,-0.787,1.0
-0.339,1.003,1.0
0.286,-1.013,1.0
1.928,-0.859,1.0
-3.149,-0.635,1.0
2.276,0.85,1.0
-2.062,0.887,1.0
1.156,-0.988,1.0
3.315,0.596,1.0
-2.963,-0.702,1.0
2.473,-0.74,1.0
2.309,0.855,1.0
2.44,0.838,1.0
0.991,-0.999,1.0
0.932,0.929,1.0
3.392,0.533,1.0
-1.951,-0.879,1.0
0.311,1.03,1.0
0.555,-0.987,1.0
-3.216,0.587,1.0
1.042,-0.952,1.0
0.17,0.955,1.0
-2.185,-0.877,1.0
-2.235,0.791,1.0
-3.913,-0.246,1.0
-2.89,-0.738,1.0
-2.958,-0.682,1.0
1.506,-0.894,1.0
-2.598,-0.803,1.0
3.706,0.381,1.0
3.131,-0.608,1.0
-2.105,-0.861,1.0
2.323,0.78,1.0
0.327,-0.956,1.0
3.374,0.534,1.0
3.98,-0.122,1.0
-0.593,-0.954,1.0
1.975,-0.917,1.0
-0.669,0.952,1.0
2.191,0.8,1.0
1.748,0.852,1.0
-0.836,-1.004,1.0
-3.594,0.393,1.0
1.198,-0.939,1.0
-2.205,0.848,1.0
-0.581,-1.025,1.0
