0,1,2
1.81,0.43,1.0
1.47,0.44,1.0
0.54,0.57,1.0
0.89,0.32,1.0
1.43,-0.17,1.0
0.29,0.58,1.0
1.45,0.03,1.0
0.52,0.81,1.0
1.0,0.3,1.0
1.32,-0.14,1.0
0.99,-0.78,1.0
1.78,-0.61,1.0
0.49,-0.09,1.0
0.72,0.9,1.0
1.06,-0.59,1.0
0.78,-0.65,1.0
0.67,0.85,1.0
0.58,-0.04,1.0
0.57,0.85,1.0
0.56,-0.09,1.0
1.41,0.06,1.0
0.76,-0.05,1.0
1.09,0.04,1.0
1.69,0.04,1.0
1.54,-0.75,1.0
1.11,-0.72,1.0
0.94,0.24,1.0
0.22,0.05,1.0
1.54,0.65,1.0
0.85,0.07,1.0
0.87,0.31,1.0
1.39,0.87,1.0
0.62,0.02,1.0
1.33,0.03,1.0
0.59,-0.3,1.0
1.56,0.43,1.0
1.17,-0.45,1.0
0.88,0.04,1.0
1.23,-0.52,1.0
1.23,-0.92,1.0
0.14,0.19,1.0
0.77,0.63,1.0
1.03,-0.48,1.0
0.27,0.44,1.0
0.59,0.73,1.0
1.45,-0.68,1.0
1.16,-0.98,1.0
1.53,-0.51,1.0
1.72,0.26,1.0
1.43,0.01,1.0
1.76,-0.61,1.0
0.41,0.06,1.0
1.34,0.79,1.0
0.69,0.06,1.0
1.38,0.18,1.0
0.92,0.52,1.0
1.39,0.18,1.0
1.76,0.25,1.0
1.42,-0.77,1.0
1.11,0.35,1.0
1.48,0.75,1.0
1.65,-0.41,1.0
0.71,-0.32,1.0
0.7,-0.58,1.0
1.75,0.5,1.0
0.71,-0.29,1.0
1.24,-0.78,1.0
1.12,0.76,1.0
1.16,-0.19,1.0
0.41,0.34,1.0
0.21,-0.41,1.0
0.87,0.37,1.0
1.7,-0.45,1.0
1.11,-0.63,1.0
1.86,-0.37,1.0
1.43,0.74,1.0
0.2,-0.3,1.0
0.15,-0.34,1.0
0.72,-0.52,1.0
1.5,-0.67,1.0
0.97,-0.69,1.0
1.68,0.1,1.0
0.63,-0.52,1.0
1.26,0.67,1.0
0.53,-0.37,1.0
0.9,0.13,1.0
1.43,-0.24,1.0
0.93,0.24,1.0
1.79,0.11,1.0
1.37,-0.02,1.0
1.29,0.84,1.0
0.81,0.39,1.0
0.39,0.53,1.0
0.16,-0.07,1.0
1.32,0.21,1.0
0.73,0.14,1.0
1.4,0.71,1.0
1.12,-0.48,1.0
1.2,-0.54,1.0
1.63,-0.5,1.0
-1.85,-0.17,2.0
-0.91,0.21,2.0
-1.08,-0.21,2.0
-0.68,0.4,2.0
-0.95,0.29,2.0
-1.57,-0.82,2.0
-0.6,0.15,2.0
-1.22,-0.81,2.0
-1.78,0.11,2.0
-1.08,-0.62,2.0
-1.53,0.28,2.0
-0.93,0.35,2.0
-0.9,-0.19,2.0
-1.9,-0.1,2.0
-1.28,-0.37,2.0
-0.38,0.4,2.0
-0.97,-0.94,2.0
-1.58,0.41,2.0
-0.95,-0.96,2.0
-1.46,0.44,2.0
-0.3,0.6,2.0
-0.21,-0.36,2.0
-0.54,-0.14,2.0
-1.07,0.99,2.0
-1.69,0.03,2.0
-0.86,0.12,2.0
-1.14,0.4,2.0
-0.1,-0.26,2.0
-0.91,0.19,2.0
-1.34,0.11,2.0
-1.31,-0.73,2.0
-0.63,0.01,2.0
-1.53,-0.26,2.0
-0.26,-0.35,2.0
-0.82,0.59,2.0
-0.35,0.71,2.0
-1.41,-0.33,2.0
-1.6,-0.7,2.0
-0.56,-0.8,2.0
-0.94,-0.82,2.0
-0.95,0.61,2.0
-0.74,-0.01,2.0
-0.2,-0.57,2.0
-1.71,-0.46,2.0
-1.25,0.46,2.0
-0.41,0.11,2.0
-1.35,0.7,2.0
-1.14,-0.8,2.0
-1.02,-0.3,2.0
-1.68,-0.72,2.0
-1.2,-0.03,2.0
-0.63,0.1,2.0
-0.85,-0.16,2.0
-0.41,-0.73,2.0
-1.05,-0.5,2.0
-0.08,0.03,2.0
-1.37,0.37,2.0
-1.76,0.09,2.0
-0.61,0.86,2.0
-0.85,0.22,2.0
-1.9,0.37,2.0
-0.84,0.28,2.0
-1.1,0.28,2.0
-0.92,-0.36,2.0
-0.23,-0.13,2.0
-1.35,0.18,2.0
-0.16,-0.22,2.0
-0.92,0.49,2.0
-0.91,-0.37,2.0
-1.59,0.23,2.0
-1.26,-0.47,2.0
-0.94,0.8,2.0
-1.05,-0.25,2.0
-1.07,-0.13,2.0
-1.19,0.93,2.0
-1.62,-0.35,2.0
-1.75,-0.4,2.0
-1.66,-0.68,2.0
-1.23,-0.76,2.0
-1.0,-0.6,2.0
-1.1,0.54,2.0
-0.97,-0.26,2.0
-1.39,-0.61,2.0
-1.38,0.35,2.0
-0.55,0.72,2.0
-1.68,-0.61,2.0
-1.06,0.14,2.0
-1.54,0.17,2.0
-1.5,0.61,2.0
-1.88,-0.15,2.0
-0.56,-0.06,2.0
-0.18,0.21,2.0
-1.0,-0.39,2.0
-0.41,-0.71,2.0
-0.88,-0.61,2.0
-0.96,0.33,2.0
-0.53,-0.44,2.0
-0.39,0.32,2.0
-0.88,-0.86,2.0
-1.25,0.18,2.0
